CWNS_ID,FACILITY_NAME,PERMIT_NUMBER,PERMIT_SOURCE,PERMIT_TYPE,FACILITY_ID_x,STATE_CODE_x,FACILITY_TYPE,CHANGE_TYPE,FACILITY_ID_y,STATE_CODE_y,INFRASTRUCTURE_TYPE,POPULATION_TYPE,RESIDENTIAL_POP_2022,RESIDENTIAL_POP_2042,NONRESIDENTIAL_POP_2022,NONRESIDENTIAL_POP_2042,TOTAL_RES_POPULATION_2022,TOTAL_RES_POPULATION_2042,TOTAL_NONRES_POPULATION_2022,TOTAL_NONRES_POPULATION_2042,TREATED_DISCHARGE_PERCENTAGE_2022,TREATED_DISCHARGE_PERCENTAGE_2042,NET_TREATED_POPULATION_2022,NET_TREATED_POPULATION_2042,NO_DISCHARGE_PERCENTAGE_2022,NO_DISCHARGE_PERCENTAGE_2042,NO_DISCHARGE_POPULATION_2022,NO_DISCHARGE_POPULATION_2042,PART_OF_SEWERSHED,END_FACILITY
6001020001,RIO DELL WWTF,CA0022748,NPDES,Individual Permit,1175189,CA,Collection: Separate Sewers,No Change,1175189.0,CA,Wastewater,Receiving Collection,2790.0,2790.0,,,2790.0,2790.0,0.0,0.0,1.0,1.0,2790.0,2790.0,0.5,0.5,1395.0,1395.0,,Y
6001020001,RIO DELL WWTF,CA0022748,NPDES,Individual Permit,1175189,CA,Treatment Plant,No Change,1175189.0,CA,Wastewater,Receiving Collection,2790.0,2790.0,,,2790.0,2790.0,0.0,0.0,1.0,1.0,2790.0,2790.0,0.5,0.5,1395.0,1395.0,,Y
6003044001,Watsonville WWTF,CA0048216,NPDES,Individual Permit,1175412,CA,Water Reuse,Rehabilitation,1175412.0,CA,Wastewater,Receiving Collection,49363.0,52200.0,,,58713.0,61152.0,0.0,0.0,1.0,1.0,58713.0,61152.0,0.63,0.63,36989.0,36989.0,Y,Y
6003044001,Watsonville WWTF,CA0048216,NPDES,Individual Permit,1175412,CA,Water Reuse,Replacement,1175412.0,CA,Wastewater,Receiving Collection,49363.0,52200.0,,,58713.0,61152.0,0.0,0.0,1.0,1.0,58713.0,61152.0,0.63,0.63,36989.0,36989.0,Y,Y
6003044001,Watsonville WWTF,CA0048216,NPDES,Individual Permit,1175412,CA,Collection: Separate Sewers,Rehabilitation,1175412.0,CA,Wastewater,Receiving Collection,49363.0,52200.0,,,58713.0,61152.0,0.0,0.0,1.0,1.0,58713.0,61152.0,0.63,0.63,36989.0,36989.0,Y,Y
6003044001,Watsonville WWTF,CA0048216,NPDES,Individual Permit,1175412,CA,Collection: Separate Sewers,Replacement,1175412.0,CA,Wastewater,Receiving Collection,49363.0,52200.0,,,58713.0,61152.0,0.0,0.0,1.0,1.0,58713.0,61152.0,0.63,0.63,36989.0,36989.0,Y,Y
6003044001,Watsonville WWTF,CA0048216,NPDES,Individual Permit,1175412,CA,Treatment Plant,Rehabilitation,1175412.0,CA,Wastewater,Receiving Collection,49363.0,52200.0,,,58713.0,61152.0,0.0,0.0,1.0,1.0,58713.0,61152.0,0.63,0.63,36989.0,36989.0,Y,Y
6003044001,Watsonville WWTF,CA0048216,NPDES,Individual Permit,1175412,CA,Treatment Plant,Replacement,1175412.0,CA,Wastewater,Receiving Collection,49363.0,52200.0,,,58713.0,61152.0,0.0,0.0,1.0,1.0,58713.0,61152.0,0.63,0.63,36989.0,36989.0,Y,Y
6003115001,RIDGEMARK WWTF,,,,1175455,CA,Collection: Separate Sewers,No Change,1175455.0,CA,Wastewater,Receiving Collection,4500.0,5285.0,,,4500.0,5285.0,0.0,0.0,1.0,1.0,4500.0,5285.0,1.0,1.0,4500.0,4500.0,,Y
6003115001,RIDGEMARK WWTF,,,,1175455,CA,Treatment Plant,No Change,1175455.0,CA,Wastewater,Receiving Collection,4500.0,5285.0,,,4500.0,5285.0,0.0,0.0,1.0,1.0,4500.0,5285.0,1.0,1.0,4500.0,4500.0,,Y
6005060003,North Lakeport Collection System,,,,1175581,CA,Collection: Separate Sewers,No Change,1175581.0,CA,Wastewater,Receiving Collection,2006.0,2228.0,3986.0,3986.0,2006.0,2228.0,3986.0,3986.0,0.0,0.0,0.0,0.0,,,,,Y,
6005118001,RICHGROVE WWTF,,,,1175649,CA,Collection: Separate Sewers,No Change,1175649.0,CA,Wastewater,Receiving Collection,1429.0,1429.0,741.0,741.0,1429.0,1429.0,741.0,741.0,1.0,1.0,1429.0,1429.0,1.0,1.0,1429.0,1429.0,,Y
