CWNS_ID,FACILITY_ID_x,STATE_CODE_x,INFRASTRUCTURE_TYPE_x,FACILITY_NAME,DESCRIPTION,OWNER_TYPE,SUPERFUND_FLAG,SEMS_ID,SCF_ELIGIBLE,REVIEW_STATUS,REVIEW_TYPE,DATE_LAST_MODIFIED,NO_NEEDS,PERMIT_NUMBER,PERMIT_SOURCE,PERMIT_TYPE,FACILITY_ID_y,STATE_CODE_y,FACILITY_TYPE,CHANGE_TYPE,FACILITY_ID,STATE_CODE,INFRASTRUCTURE_TYPE_y,POPULATION_TYPE,RESIDENTIAL_POP_2022,RESIDENTIAL_POP_2042,NONRESIDENTIAL_POP_2022,NONRESIDENTIAL_POP_2042,TOTAL_RES_POPULATION_2022,TOTAL_RES_POPULATION_2042,TOTAL_NONRES_POPULATION_2022,TOTAL_NONRES_POPULATION_2042,TREATED_DISCHARGE_PERCENTAGE_2022,TREATED_DISCHARGE_PERCENTAGE_2042,NET_TREATED_POPULATION_2022,NET_TREATED_POPULATION_2042,NO_DISCHARGE_PERCENTAGE_2022,NO_DISCHARGE_PERCENTAGE_2042,NO_DISCHARGE_POPULATION_2022,NO_DISCHARGE_POPULATION_2042,PART_OF_SEWERSHED,END_FACILITY
6001020001,1175189,CA,Wastewater,RIO DELL WWTF,,Public,N,,Y,FA,Partial,03-MAY-23,Y,CA0022748,NPDES,Individual Permit,1175189,CA,Collection: Separate Sewers,No Change,1175189.0,CA,Wastewater,Receiving Collection,2790.0,2790.0,,,2790.0,2790.0,0.0,0.0,1.0,1.0,2790.0,2790.0,0.5,0.5,1395.0,1395.0,,Y
6001020001,1175189,CA,Wastewater,RIO DELL WWTF,,Public,N,,Y,FA,Partial,03-MAY-23,Y,CA0022748,NPDES,Individual Permit,1175189,CA,Treatment Plant,No Change,1175189.0,CA,Wastewater,Receiving Collection,2790.0,2790.0,,,2790.0,2790.0,0.0,0.0,1.0,1.0,2790.0,2790.0,0.5,0.5,1395.0,1395.0,,Y
6003044001,1175412,CA,Wastewater,Watsonville WWTF,,Public,N,,N,FA,Partial,01-DEC-22,,CA0048216,NPDES,Individual Permit,1175412,CA,Water Reuse,Rehabilitation,1175412.0,CA,Wastewater,Receiving Collection,49363.0,52200.0,,,58713.0,61152.0,0.0,0.0,1.0,1.0,58713.0,61152.0,0.63,0.63,36989.0,36989.0,Y,Y
6003044001,1175412,CA,Wastewater,Watsonville WWTF,,Public,N,,N,FA,Partial,01-DEC-22,,CA0048216,NPDES,Individual Permit,1175412,CA,Water Reuse,Replacement,1175412.0,CA,Wastewater,Receiving Collection,49363.0,52200.0,,,58713.0,61152.0,0.0,0.0,1.0,1.0,58713.0,61152.0,0.63,0.63,36989.0,36989.0,Y,Y
6003044001,1175412,CA,Wastewater,Watsonville WWTF,,Public,N,,N,FA,Partial,01-DEC-22,,CA0048216,NPDES,Individual Permit,1175412,CA,Collection: Separate Sewers,Rehabilitation,1175412.0,CA,Wastewater,Receiving Collection,49363.0,52200.0,,,58713.0,61152.0,0.0,0.0,1.0,1.0,58713.0,61152.0,0.63,0.63,36989.0,36989.0,Y,Y
6003044001,1175412,CA,Wastewater,Watsonville WWTF,,Public,N,,N,FA,Partial,01-DEC-22,,CA0048216,NPDES,Individual Permit,1175412,CA,Collection: Separate Sewers,Replacement,1175412.0,CA,Wastewater,Receiving Collection,49363.0,52200.0,,,58713.0,61152.0,0.0,0.0,1.0,1.0,58713.0,61152.0,0.63,0.63,36989.0,36989.0,Y,Y
6003044001,1175412,CA,Wastewater,Watsonville WWTF,,Public,N,,N,FA,Partial,01-DEC-22,,CA0048216,NPDES,Individual Permit,1175412,CA,Treatment Plant,Rehabilitation,1175412.0,CA,Wastewater,Receiving Collection,49363.0,52200.0,,,58713.0,61152.0,0.0,0.0,1.0,1.0,58713.0,61152.0,0.63,0.63,36989.0,36989.0,Y,Y
6003044001,1175412,CA,Wastewater,Watsonville WWTF,,Public,N,,N,FA,Partial,01-DEC-22,,CA0048216,NPDES,Individual Permit,1175412,CA,Treatment Plant,Replacement,1175412.0,CA,Wastewater,Receiving Collection,49363.0,52200.0,,,58713.0,61152.0,0.0,0.0,1.0,1.0,58713.0,61152.0,0.63,0.63,36989.0,36989.0,Y,Y
6003115001,1175455,CA,Wastewater,RIDGEMARK WWTF,,Public,N,,Y,FA,Partial,03-MAY-23,Y,,,,1175455,CA,Collection: Separate Sewers,No Change,1175455.0,CA,Wastewater,Receiving Collection,4500.0,5285.0,,,4500.0,5285.0,0.0,0.0,1.0,1.0,4500.0,5285.0,1.0,1.0,4500.0,4500.0,,Y
6003115001,1175455,CA,Wastewater,RIDGEMARK WWTF,,Public,N,,Y,FA,Partial,03-MAY-23,Y,,,,1175455,CA,Treatment Plant,No Change,1175455.0,CA,Wastewater,Receiving Collection,4500.0,5285.0,,,4500.0,5285.0,0.0,0.0,1.0,1.0,4500.0,5285.0,1.0,1.0,4500.0,4500.0,,Y
6005060003,1175581,CA,Wastewater,North Lakeport Collection System,,Public,N,,N,FA,Partial,01-MAR-23,Y,,,,1175581,CA,Collection: Separate Sewers,No Change,1175581.0,CA,Wastewater,Receiving Collection,2006.0,2228.0,3986.0,3986.0,2006.0,2228.0,3986.0,3986.0,0.0,0.0,0.0,0.0,,,,,Y,
6005118001,1175649,CA,Wastewater,RICHGROVE WWTF,,Public,N,,N,FA,Partial,03-MAY-23,Y,,,,1175649,CA,Collection: Separate Sewers,No Change,1175649.0,CA,Wastewater,Receiving Collection,1429.0,1429.0,741.0,741.0,1429.0,1429.0,741.0,741.0,1.0,1.0,1429.0,1429.0,1.0,1.0,1429.0,1429.0,,Y
6005118001,1175649,CA,Wastewater,RICHGROVE WWTF,,Public,N,,N,FA,Partial,03-MAY-23,Y,,,,1175649,CA,Treatment Plant,No Change,1175649.0,CA,Wastewater,Receiving Collection,1429.0,1429.0,741.0,741.0,1429.0,1429.0,741.0,741.0,1.0,1.0,1429.0,1429.0,1.0,1.0,1429.0,1429.0,,Y
6005233001,1175721,CA,Wastewater,Colfax WWTF,,Public,N,,Y,FA,Partial,01-MAR-23,,CA0079529,NPDES,Individual Permit,1175721,CA,Collection: Separate Sewers,No Change,1175721.0,CA,Wastewater,Receiving Collection,1566.0,1566.0,,,1566.0,1566.0,0.0,0.0,1.0,1.0,1566.0,1566.0,,,,,,Y
6005233001,1175721,CA,Wastewater,Colfax WWTF,,Public,N,,Y,FA,Partial,01-MAR-23,,CA0079529,NPDES,Individual Permit,1175721,CA,Treatment Plant,Rehabilitation,1175721.0,CA,Wastewater,Receiving Collection,1566.0,1566.0,,,1566.0,1566.0,0.0,0.0,1.0,1.0,1566.0,1566.0,,,,,,Y
6005233001,1175721,CA,Wastewater,Colfax WWTF,,Public,N,,Y,FA,Partial,01-MAR-23,,CA0079529,NPDES,Individual Permit,1175721,CA,Treatment Plant,Process Improvement,1175721.0,CA,Wastewater,Receiving Collection,1566.0,1566.0,,,1566.0,1566.0,0.0,0.0,1.0,1.0,1566.0,1566.0,,,,,,Y
6005233001,1175721,CA,Wastewater,Colfax WWTF,,Public,N,,Y,FA,Partial,01-MAR-23,,CA0079529,NPDES,Individual Permit,1175721,CA,Treatment Plant,Improve Energy Efficiency,1175721.0,CA,Wastewater,Receiving Collection,1566.0,1566.0,,,1566.0,1566.0,0.0,0.0,1.0,1.0,1566.0,1566.0,,,,,,Y
6005239001,1175726,CA,Wastewater,Antioch Collection System,,Public,N,,N,FA,Partial,29-AUG-22,,,,,1175726,CA,Collection: Separate Sewers,Rehabilitation,1175726.0,CA,Wastewater,Receiving Collection,103762.0,131580.0,,,103762.0,131580.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Y,
6005239001,1175726,CA,Wastewater,Antioch Collection System,,Public,N,,N,FA,Partial,29-AUG-22,,,,,1175726,CA,Collection: Separate Sewers,Replacement,1175726.0,CA,Wastewater,Receiving Collection,103762.0,131580.0,,,103762.0,131580.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Y,
6005325001,1175771,CA,Wastewater,ORLAND WWTF,,Public,N,,Y,FA,Partial,03-MAY-23,Y,R5-2010-0087,Non-NPDES,Other,1175771,CA,Treatment Plant,No Change,1175771.0,CA,Wastewater,Receiving Collection,7490.0,9489.0,,,7490.0,9489.0,0.0,0.0,1.0,1.0,7490.0,9489.0,1.0,1.0,7490.0,7490.0,,Y
6005325001,1175771,CA,Wastewater,ORLAND WWTF,,Public,N,,Y,FA,Partial,03-MAY-23,Y,R5-2010-0087,Non-NPDES,Other,1175771,CA,Collection: Separate Sewers,No Change,1175771.0,CA,Wastewater,Receiving Collection,7490.0,9489.0,,,7490.0,9489.0,0.0,0.0,1.0,1.0,7490.0,9489.0,1.0,1.0,7490.0,7490.0,,Y
6008002001,1175946,CA,Wastewater,"Newport Beach, City of (Collection)",,Public,N,,N,FA,Partial,01-MAR-23,,2006-0003-DWQ,Non-NPDES,State - Other,1175946,CA,Collection: Separate Sewers,Rehabilitation,1175946.0,CA,Wastewater,Receiving Collection,76729.0,81145.0,,,76729.0,81145.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Y,
